=================================================================
  Run : 20260628_231252
  Strategy : DummyVecEnv(8) + 전체 train pool
  Policy   : MlpPolicy  net_arch=[64, 64]
  Steps    : 2,000,000  (eval every 50,000)
=================================================================
[data] 로딩: /home/hpe/finance-llm-course/day3/01_golden_cross/../../day2/03_fss_api/data/stock_prices.csv
[data] train 199종목 / val 200종목  (split: 20260101)
[env] DummyVecEnv(8)  obs=(20, 9)  act=3
Using cpu device
[model] 파라미터 수: 31,748

[train] 시작  →  tensorboard --logdir /home/hpe/finance-llm-course/day3/01_golden_cross/logs

Logging to /home/hpe/finance-llm-course/day3/01_golden_cross/logs/20260628_231252/20260628_231252_1
---------------------------------
| rollout/           |          |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.463      |
|    explained_variance   | 0.146       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0444     |
|    n_updates            | 1620        |
|    policy_gradient_loss | -0.0214     |
|    value_loss           | 0.0147      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 870         |
|    ep_rew_mean          | 5.41        |
| time/                   |             |
|    fps                  | 1563        |
|    iterations           | 164         |
|    time_elapsed         | 859         |
|    total_timesteps      | 1343488     |
| train/                  |             |
|    approx_kl            | 0.030857498 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.464      |
|    explained_variance   | 0.141       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0462     |
|    n_updates            | 1630        |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 0.0186      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.031723827 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.46       |
|    explained_variance   | 0.149       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00237     |
|    n_updates            | 1640        |
|    policy_gradient_loss | -0.0212     |
|    value_loss           | 0.0186      |
| train_eval/             |             |
|    mean_cum_return      | 1.01        |
|    mean_mdd             | -0.484      |
|    mean_sharpe          | -0.0702     |
|    mean_win_rate        | 0.378       |
|    std_cum_return       | 2.95        |
|    std_mdd              | 0.0704      |
|    std_sharpe           | 0.619       |
|    std_win_rate         | 0.0313      |
| val/                    |             |
|    mean_cum_return      | 0.15        |
|    mean_mdd             | -0.306      |
|    mean_sharpe          | -0.0306     |
|    mean_win_rate        | 0.406       |
|    std_cum_return       | 0.52        |
|    std_mdd              | 0.0867      |
|    std_sharpe           | 2.12        |
|    std_win_rate         | 0.0859      |
-----------------------------------------
  [eval] step=1,350,000  val cum_ret=+15.02%  MDD=-30.60%  sharpe=-0.031  win_rate=40.6%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 826      |
|    ep_rew_mean     | 5.07     |
| time/              |          |
|    fps             | 1555     |
|    iterations      | 165      |
|    time_elapsed    | 868      |
|    total_timesteps | 1351680  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 831         |
|    ep_rew_mean          | 5.15        |
| time/                   |             |
|    fps                  | 1556        |
|    iterations           | 166         |
|    time_elapsed         | 873         |
|    total_timesteps      | 1359872     |
| train/                  |             |
|    approx_kl            | 0.033625174 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.445      |
|    explained_variance   | 0.179       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0225     |
|    n_updates            | 1650        |
|    policy_gradient_loss | -0.0276     |
|    value_loss           | 0.0147      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 853        |
|    ep_rew_mean          | 5.31       |
| time/                   |            |
|    fps                  | 1557       |
|    iterations           | 167        |
|    time_elapsed         | 878        |
|    total_timesteps      | 1368064    |
| train/                  |            |
|    approx_kl            | 0.03361053 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.458     |
|    explained_variance   | 0.224      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0709    |
|    n_updates            | 1660       |
|    policy_gradient_loss | -0.0257    |
|    value_loss           | 0.0121     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 843        |
|    ep_rew_mean          | 5.21       |
| time/                   |            |
|    fps                  | 1558       |
|    iterations           | 168        |
|    time_elapsed         | 883        |
|    total_timesteps      | 1376256    |
| train/                  |            |
|    approx_kl            | 0.03379444 |
|    clip_fraction        | 0.179      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.451     |
|    explained_variance   | 0.151      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0403    |
|    n_updates            | 1670       |
|    policy_gradient_loss | -0.0244    |
|    value_loss           | 0.0141     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 827        |
|    ep_rew_mean          | 5.1        |
| time/                   |            |
|    fps                  | 1559       |
|    iterations           | 169        |
|    time_elapsed         | 887        |
|    total_timesteps      | 1384448    |
| train/                  |            |
|    approx_kl            | 0.03090351 |
|    clip_fraction        | 0.182      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.474     |
|    explained_variance   | 0.201      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.025     |
|    n_updates            | 1680       |
|    policy_gradient_loss | -0.0245    |
|    value_loss           | 0.0129     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 798         |
|    ep_rew_mean          | 4.8         |
| time/                   |             |
|    fps                  | 1560        |
